Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
ж;79;Забайкальский край;2;1;1798119;ЖКХ
ж;38;Ставропольский край;1;1;2253483;Строительство, недвижимость, эксплуатация, проектирование
ж;59;г.Москва;0;1;237342;Гостинницы, рестораны, общепит, кейтеринг
м;61;Архангельская область;0;0;0;NULL
м;18;Кабардино - Балкарская Республика;0;0;0;NULL
м;81;Костромская область;2;1;26316;Гостинницы, рестораны, общепит, кейтеринг
м;56;Костромская область;0;1;145746;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;25;Свердловская область;1;1;1738500;Искусство, культура
ж;77;Республика Крым;2;0;0;NULL
м;47;Оренбургская область;2;0;0;NULL
ж;21;Свердловская область;2;0;0;NULL
м;70;Кемеровская область;1;1;426972;Финансовый сектор
ж;24;Саратовская область;0;1;1825005;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;51;Республика Бурятия;2;0;0;NULL
м;78;Иные территории, включая город и космодром Байконур;2;1;538496;Товары народного потребления (непищевые)
ж;73;Тульская область;1;1;1193220;Информационные технологии, системная интеграция, интернет
м;41;Омская область;0;0;0;NULL
м;47;Республика Тыва;0;1;1562733;Телекоммуникации, связь
ж;63;Республика Калмыкия;1;1;84473;Сельское хозяйство
м;35;Кабардино - Балкарская Республика;2;1;1112668;Тяжелое машиностроение
ж;40;Республика Ингушетия;1;1;6232;Перевозки, логистика, склад, ВЭД
м;22;Тамбовская область;1;1;363517;Общественная деятельность, партии, благотворительность, НКО
ж;38;Курганская область;0;1;120448;Товары народного потребления (непищевые)
ж;82;Саратовская область;0;0;0;NULL
м;35;Новгородская область;0;1;8370;Товары народного потребления (непищевые)
м;50;Ханты - Мансийский автономный округ - Югра;2;0;0;NULL
м;29;Свердловская область;0;1;141218;Информационные технологии, системная интеграция, интернет
ж;28;Вологодская область;0;1;1610868;Продукты питания
м;53;Владимирская область;1;1;961320;Химическое производство, удобрения
ж;18;Республика Адыгея(Адыгея);1;1;246255;Общественная деятельность, партии, благотворительность, НКО
м;46;Владимирская область;2;1;276955;Химическое производство, удобрения
ж;27;Еврейская автономная область;1;0;0;NULL
ж;33;Республика Крым;0;1;708092;Металлургия, металлообработка
м;22;Кировская область;1;1;426052;Искусство, культура
м;80;Кировская область;0;1;263907;ЖКХ
ж;57;Чувашская Республика - Чувашия;2;1;297822;Образовательные учреждения
ж;30;Чувашская Республика - Чувашия;2;0;0;NULL
м;77;Республика Дагестан;2;0;0;NULL
ж;65;Волгоградская область;0;0;0;NULL
м;17;Республика Северная Осетия - Алания;2;0;0;NULL
ж;57;Астраханская область;0;1;2259012;Медицина, фармацевтика, аптеки
ж;15;Тульская область;2;1;200160;Услуги для бизнеса
м;71;Республика Марий Эл;0;0;0;NULL
м;33;Тюменская область;0;1;1216578;Образовательные учреждения
м;35;Ставропольский край;2;1;1015772;Искусство, культура
ж;65;Карачаево - Черкесская Республика;0;1;1673516;Общественная деятельность, партии, благотворительность, НКО
ж;74;г.Москва;0;1;1224080;Химическое производство, удобрения
ж;81;Забайкальский край;1;0;0;NULL
ж;70;Самарская область;2;1;161634;Розничная торговля
м;32;Республика Хакасия;2;0;0;NULL
м;24;Ростовская область;1;0;0;NULL
м;70;Красноярский край;0;0;0;NULL
ж;40;Мурманская область;0;1;922906;Товары народного потребления (непищевые)
м;15;Рязанская область;2;0;0;NULL
ж;44;Карачаево - Черкесская Республика;1;1;195672;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;65;Амурская область;0;1;301658;Сельское хозяйство
ж;74;Курская область;0;1;731352;Промышленное оборудование, техника, станки и комплектующие
ж;19;Омская область;1;0;0;NULL
м;59;Республика Адыгея(Адыгея);1;1;961112;Государственные организации
ж;46;г.Москва;0;1;46404;Перевозки, логистика, склад, ВЭД
м;15;Иные территории, включая город и космодром Байконур;2;0;0;NULL
ж;75;Рязанская область;0;1;716716;Автомобильный бизнес
ж;36;Тульская область;0;0;0;NULL
ж;82;Кабардино - Балкарская Республика;1;0;0;NULL
м;18;Белгородская область;2;0;0;NULL
ж;46;Севастополь;2;1;1079370;Общественная деятельность, партии, благотворительность, НКО
м;72;Сахалинская область;2;0;0;NULL
ж;28;Чукотский автономный округ;0;1;45725;Услуги для населения
м;39;Вологодская область;2;0;0;NULL
ж;39;Брянская область;1;1;387891;Услуги для населения
ж;38;Владимирская область;0;1;1148950;ЖКХ
м;37;Ивановская область;1;0;0;NULL
ж;74;Курская область;0;0;0;NULL
м;85;Тверская область;0;1;523100;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;77;Воронежская область;0;0;0;NULL
ж;33;Курская область;2;0;0;NULL
ж;67;Ставропольский край;0;1;2411900;Услуги для бизнеса
м;39;Республика Дагестан;1;0;0;NULL
ж;34;Республика Саха(Якутия);2;0;0;NULL
м;22;Магаданская область;2;0;0;NULL
м;75;Республика Алтай;2;1;120228;Розничная торговля
м;41;Иные территории, включая город и космодром Байконур;2;0;0;NULL
ж;41;Ямало - Ненецкий автономный округ;1;0;0;NULL
м;27;Иные территории, включая город и космодром Байконур;0;0;0;NULL
м;45;Рязанская область;0;0;0;NULL
м;21;Новосибирская область;2;0;0;NULL
ж;88;Пензенская область;0;0;0;NULL
ж;44;Томская область;1;1;847320;ЖКХ
м;17;Тульская область;0;0;0;NULL
ж;47;Кемеровская область;0;0;0;NULL
ж;52;Республика Карелия;2;1;139046;Телекоммуникации, связь
м;34;Республика Тыва;2;1;861900;Товары народного потребления (непищевые)
ж;42;Республика Калмыкия;0;1;180232;Лесная промышленность, деревообработка
ж;32;Брянская область;2;1;686085;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;20;Республика Дагестан;2;1;35373;Общественная деятельность, партии, благотворительность, НКО
ж;59;Калужская область;1;1;1726536;Тяжелое машиностроение
ж;67;Алтайский край;0;1;937380;Телекоммуникации, связь
ж;80;Ленинградская область;0;1;475020;Информационные технологии, системная интеграция, интернет
м;45;Республика Марий Эл;0;1;2244168;Медицина, фармацевтика, аптеки
ж;32;Чукотский автономный округ;0;0;0;NULL
ж;51;Севастополь;2;0;0;NULL
ж;79;Свердловская область;1;1;706752;Информационные технологии, системная интеграция, интернет
ж;48;Забайкальский край;2;0;0;NULL
м;15;Свердловская область;0;0;0;NULL
ж;87;Тверская область;1;1;304566;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;46;Чеченская Республика;2;1;2321666;Образовательные учреждения
м;21;Республика Татарстан(Татарстан);0;0;0;NULL
м;53;Санкт - Петербург;1;1;104429;Искусство, культура
ж;60;Чувашская Республика - Чувашия;1;0;0;NULL
м;40;Магаданская область;1;0;0;NULL
м;41;Липецкая область;1;1;2782800;Нефть и газ
м;21;Тамбовская область;2;0;0;NULL
ж;86;Смоленская область;0;1;1214363;Услуги для бизнеса
м;84;Республика Алтай;1;1;307930;Энергетика
ж;19;Новосибирская область;0;1;336813;Медицина, фармацевтика, аптеки
м;53;Ямало - Ненецкий автономный округ;0;1;1036796;Гостинницы, рестораны, общепит, кейтеринг
ж;40;Еврейская автономная область;0;0;0;NULL
ж;83;Орловская область;2;0;0;NULL
ж;85;Республика Калмыкия;0;0;0;NULL
ж;64;Республика Алтай;2;1;1891953;Нефть и газ
ж;39;Калужская область;2;0;0;NULL
м;46;Алтайский край;0;1;667300;Услуги для населения
ж;58;Мурманская область;0;1;463080;Образовательные учреждения
ж;31;Костромская область;1;1;1778075;Государственные организации
м;77;Чувашская Республика - Чувашия;2;0;0;NULL
м;38;Тамбовская область;1;1;1480704;Нефть и газ
ж;25;Ямало - Ненецкий автономный округ;1;1;1158284;Металлургия, металлообработка
ж;26;Рязанская область;2;1;366912;Сельское хозяйство
ж;67;Республика Алтай;2;0;0;NULL
м;85;Смоленская область;2;1;1651728;Государственные организации
ж;29;Саратовская область;0;1;286776;Образовательные учреждения
ж;87;Чукотский автономный округ;1;1;576114;Сельское хозяйство
м;24;Ростовская область;0;1;69549;Информационные технологии, системная интеграция, интернет
ж;76;Карачаево - Черкесская Республика;2;1;855104;Государственные организации
м;41;Чукотский автономный округ;2;0;0;NULL
м;81;Воронежская область;1;1;1338048;Телекоммуникации, связь
ж;45;Ивановская область;1;0;0;NULL
ж;72;Смоленская область;2;0;0;NULL
м;78;Пермский край;0;0;0;NULL
ж;31;Псковская область;0;1;513504;Розничная торговля
ж;25;Чукотский автономный округ;1;0;0;NULL
м;14;Чувашская Республика - Чувашия;1;1;194530;Нефть и газ
м;82;Архангельская область;1;1;102858;Управление многопрофильными активами
ж;51;Кабардино - Балкарская Республика;2;0;0;NULL
ж;83;Красноярский край;1;0;0;NULL
м;46;Белгородская область;2;1;466237;Гостинницы, рестораны, общепит, кейтеринг
м;42;Ивановская область;2;0;0;NULL
м;72;Белгородская область;0;0;0;NULL
ж;31;Ярославская область;1;0;0;NULL
м;65;Карачаево - Черкесская Республика;2;0;0;NULL
м;28;Воронежская область;1;1;2276120;Перевозки, логистика, склад, ВЭД
ж;78;Республика Башкортостан;1;0;0;NULL
м;29;Псковская область;1;0;0;NULL
м;60;Ямало - Ненецкий автономный округ;0;0;0;NULL
м;80;Ульяновская область;2;0;0;NULL
м;25;Республика Дагестан;0;0;0;NULL
ж;23;Тюменская область;0;0;0;NULL
м;73;Орловская область;1;0;0;NULL
м;44;Республика Башкортостан;1;1;717627;Продукты питания
ж;14;Севастополь;1;0;0;NULL
м;82;Томская область;1;1;64804;Услуги для населения
м;85;Новосибирская область;1;1;365370;Управление многопрофильными активами
ж;73;Республика Саха(Якутия);2;1;962046;Строительство, недвижимость, эксплуатация, проектирование
м;16;Удмуртская Республика;2;0;0;NULL
м;25;Красноярский край;1;1;1033900;Добывающая отрасль
ж;62;Чукотский автономный округ;0;0;0;NULL
ж;81;Республика Саха(Якутия);1;0;0;NULL
м;49;Омская область;1;0;0;NULL
м;20;Санкт - Петербург;1;1;1419753;Нефть и газ
ж;21;Республика Башкортостан;2;1;1247052;Информационные технологии, системная интеграция, интернет
ж;36;Красноярский край;1;1;209610;Перевозки, логистика, склад, ВЭД
м;53;Самарская область;1;1;295380;Государственные организации
ж;58;Липецкая область;0;0;0;NULL
ж;72;Тюменская область;2;1;1199184;Телекоммуникации, связь
ж;24;Ямало - Ненецкий автономный округ;2;1;262166;ЖКХ
м;61;Сахалинская область;2;1;873528;Добывающая отрасль
ж;55;г.Москва;1;0;0;NULL
ж;56;Санкт - Петербург;0;0;0;NULL
м;78;Санкт - Петербург;0;0;0;NULL
м;64;Курская область;0;0;0;NULL
ж;19;Республика Калмыкия;1;0;0;NULL
м;28;Оренбургская область;0;1;56828;ЖКХ
м;51;Архангельская область;2;1;1745055;Государственные организации
ж;79;Хабаровский край;2;1;31152;Сельское хозяйство
ж;53;Приморский край;1;1;2205368;Услуги для бизнеса
ж;45;Ненецкий автономный округ;1;0;0;NULL
ж;46;Новосибирская область;1;1;976740;Металлургия, металлообработка
ж;61;Курская область;2;1;1184574;Автомобильный бизнес
ж;48;Ямало - Ненецкий автономный округ;2;1;201040;Металлургия, металлообработка
м;53;Смоленская область;2;0;0;NULL
ж;36;Кемеровская область;0;1;845600;Сельское хозяйство
м;70;Чеченская Республика;2;1;1319616;Металлургия, металлообработка
ж;33;Оренбургская область;1;1;1380756;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;31;Липецкая область;1;0;0;NULL
ж;58;Республика Хакасия;0;0;0;NULL
м;37;Магаданская область;1;1;567654;Тяжелое машиностроение
ж;49;Ненецкий автономный округ;2;1;1408950;Лесная промышленность, деревообработка
ж;85;Республика Саха(Якутия);1;1;244700;Информационные технологии, системная интеграция, интернет
ж;36;Удмуртская Республика;2;0;0;NULL
м;80;Нижегородская область;2;1;708381;Гостинницы, рестораны, общепит, кейтеринг
м;53;Липецкая область;1;0;0;NULL
ж;85;Хабаровский край;1;1;448877;Лесная промышленность, деревообработка
м;21;Костромская область;0;1;26103;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;36;Мурманская область;2;1;584959;Телекоммуникации, связь
ж;15;Московская область;2;0;0;NULL
ж;21;Ненецкий автономный округ;1;0;0;NULL
м;49;Краснодарский край;1;0;0;NULL
м;63;Брянская область;1;1;1166934;Медицина, фармацевтика, аптеки
ж;25;Чеченская Республика;0;1;972390;Розничная торговля
м;18;Волгоградская область;1;1;3049583;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;42;Тверская область;0;0;0;NULL
ж;88;Еврейская автономная область;1;0;0;NULL
ж;82;Пензенская область;1;0;0;NULL
м;28;Ямало - Ненецкий автономный округ;0;0;0;NULL
м;48;Амурская область;1;0;0;NULL
ж;15;Республика Крым;0;1;584244;Гостинницы, рестораны, общепит, кейтеринг
м;27;Брянская область;2;1;350784;ЖКХ
м;15;Карачаево - Черкесская Республика;1;0;0;NULL
ж;15;Республика Ингушетия;2;1;1080415;Услуги для бизнеса
ж;32;Республика Башкортостан;0;0;0;NULL
ж;68;Новосибирская область;2;0;0;NULL
м;26;Республика Крым;2;0;0;NULL
ж;80;Пермский край;1;1;64188;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;86;Калининградская область;1;0;0;NULL
м;45;Ульяновская область;1;0;0;NULL
м;30;Калининградская область;1;1;1205664;Автомобильный бизнес
м;86;Республика Марий Эл;1;0;0;NULL
ж;78;Орловская область;1;0;0;NULL
ж;73;Республика Марий Эл;0;1;215568;Медицина, фармацевтика, аптеки
ж;70;Республика Калмыкия;1;0;0;NULL
м;21;Пензенская область;0;0;0;NULL
ж;43;Самарская область;0;0;0;NULL
ж;65;Республика Адыгея(Адыгея);2;0;0;NULL
ж;38;Республика Татарстан(Татарстан);1;1;494824;Химическое производство, удобрения
ж;24;Иные территории, включая город и космодром Байконур;1;0;0;NULL
ж;28;Тверская область;1;1;251120;Сельское хозяйство
ж;44;Владимирская область;0;1;1360368;Строительство, недвижимость, эксплуатация, проектирование
м;34;Оренбургская область;1;1;322524;Государственные организации
м;24;Новгородская область;2;0;0;NULL
ж;21;Астраханская область;1;1;1554650;Телекоммуникации, связь
м;36;Брянская область;1;0;0;NULL
ж;48;Кировская область;1;0;0;NULL
м;79;Республика Бурятия;2;0;0;NULL
м;86;Республика Мордовия;0;0;0;NULL
м;22;Еврейская автономная область;1;1;175976;Химическое производство, удобрения
ж;71;Московская область;1;0;0;NULL
ж;86;Республика Крым;1;0;0;NULL
